型号,产品名称,产品类型,系列,产品组件,开箱配件/装箱清单,组件抽取状态,组件来源关键词,配件抽取状态,配件来源关键词,来源PDF,PDF链接,型号重复次数,组件来源片段,配件来源片段
EPSF07-M,EPSF06-M、EPSF07-M型前置过滤器,前置过滤器,前置过滤器,"本产品的所有组件都包含在包装箱内，装箱清单如下
前置过滤器主机（1只）
3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只）
螺母（2个）；密封圈（2个）；DN20接头（2个）；DN25接头（2个）
合格证","前置过滤器主机（1只）
3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只）
螺母（2个）；密封圈（2个）；DN20接头（2个）；DN25接头（2个）
合格证",found,产品组件,found,装箱清单如下,EPSF06-M、EPSF07-M型前置过滤器.pdf,../EPSF06-M、EPSF07-M型前置过滤器.pdf,1,本产品的所有组件都包含在包装箱内，装箱清单如下： （1） 前置过滤器主机（1只） （2） 3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只） （3） 螺母（2个）；密封圈（2个）；DN20接头（2个）；DN25接头（2个） （4） 合格证 （5）,（1） 前置过滤器主机（1只） （2） 3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只） （3） 螺母（2个）；密封圈（2个）；DN20接头（2个）；DN25接头（2个） （4） 合格证 （5）
EPSF09-A,EPSF09-A 清滤卫士智能型,前置过滤器,清滤卫士,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,EPSF09-A 清滤卫士智能型.pdf,../EPSF09-A 清滤卫士智能型.pdf,1,,
EPSF101-A,EPSF101-A前置过滤器说明书,前置过滤器,前置过滤器,"本产品的所有组件都包含在包装箱内，装箱清单如下： 1.3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只）
电池（4节）
保修卡 4.合格证","3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只）
电池（4节）
保修卡 4.合格证 三•产品功能 本产品怡可飘牌EPSF101-A 型自动冲洗前置过滤器装置，需连接在房屋自来水总进水处，它能滤除 自来水源中大于40um 的悬浮颗粒并定期进行自动...",found,产品组件,found,装箱清单如下,EPSF101-A前置过滤器说明书.pdf,../EPSF101-A前置过滤器说明书.pdf,1,本产品的所有组件都包含在包装箱内，装箱清单如下： 1.3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只） 2. 电池（4节） 3. 保修卡 4.合格证,1.3分PE排污管（1根1.5m长）；管夹（2只）；卡夹（1只） 2. 电池（4节） 3. 保修卡 4.合格证 三•产品功能 本产品怡可飘牌EPSF101-A 型自动冲洗前置过滤器装置，需连接在房屋自来水总进水处，它能滤除 自来水源中大于40um 的悬浮颗粒并定期进行自动冲洗，将截获的污垢从下部排水管冲出。 注意：本产品可用于减少水中含有的沙粒、砾石、碎屑、铁锈以及其他水中悬浮物。但如果水源中本身 含有粘性沉淀物，如淤泥、粘土等，您有必要定期将过滤器拆开并清洗里面的滤网（注明：滤网是耗材， 需定期清洗或更换，根据使
ERH-1,ERH-1 台式净饮机（天猫款）,管线机/饮水机,天猫,"本产品的所有组件都包含在单一包装箱内，其中包括以下组件
主机 一台
滤芯 一套
用户手册 一本
接水盘 一件
原水箱 一件
合格证 一张","在单一包装箱内，其中包括以下组件
主机 一台
滤芯 一套
用户手册 一本
接水盘 一件
原水箱 一件
合格证 一张 三．产品功能 本系列直饮水产品采用物理过滤方式。前置及后置滤芯均需定期及时更換，确保日常新鲜优质水的 供应。前置滤芯进行粗过滤，滤除原水中的泥沙、铁锈、固态悬浮物等...",found,产品组件,found,本产品的所有组件都包含,ERH-1 台式净饮机（天猫款）.pdf,../ERH-1 台式净饮机（天猫款）.pdf,1,本产品的所有组件都包含在单一包装箱内，其中包括以下组件： （1）主机 一台 （2）滤芯 一套 （3）用户手册 一本 （4）接水盘 一件 （5）原水箱 一件 （6）合格证 一张,在单一包装箱内，其中包括以下组件： （1）主机 一台 （2）滤芯 一套 （3）用户手册 一本 （4）接水盘 一件 （5）原水箱 一件 （6）合格证 一张 三．产品功能 本系列直饮水产品采用物理过滤方式。前置及后置滤芯均需定期及时更換，确保日常新鲜优质水的 供应。前置滤芯进行粗过滤，滤除原水中的泥沙、铁锈、固态悬浮物等。后置滤芯能去除水中的余氯产物 和异味，改善口感。 2 产品介绍 FCOWATER 四.
ERH-110WH,ERH-110WH型反渗透净热一体机,管线机/饮水机,管线机/饮水机,"本产品的所有组件都包含在包装箱内
净水机主机（1个）
卡爪（2个）
转接头（2个）
密封圈（2个）
编织管
硅油包","净水机主机（1个）
卡爪（2个）
转接头（2个）
密封圈（2个）
编织管
硅油包",found,产品组件,found,装箱清单如下,ERH-110WH型反渗透净热一体机.pdf,../ERH-110WH型反渗透净热一体机.pdf,1,本产品的所有组件都包含在包装箱内，装箱清单如下： ① 净水机主机（1个） ② 卡爪（2个） ③ 转接头（2个） ④ 密封圈（2个） ⑤ 编织管 ⑥ 硅油包 三、产品功能 本产品怡口牌P30WHF型活性炭净水机，以市政自来水为原水，用于对自来水进行净化处理。 适用于安装在家用厨下安装，与净水器搭配使用。 2 产品介绍 FCOVATER • 采用高品质食品级材质。 • 超大流量实现全屋净化。 • 利用市政供水压力不费电，节能环保。 • 本产品为一体式滤瓶，整理更换，方便快接。 四、产品规格及,① 净水机主机（1个） ② 卡爪（2个） ③ 转接头（2个） ④ 密封圈（2个） ⑤ 编织管 ⑥ 硅油包 三、产品功能 本产品怡口牌P30WHF型活性炭净水机，以市政自来水为原水，用于对自来水进行净化处理。 适用于安装在家用厨下安装，与净水器搭配使用。 2 产品介绍 FCOVATER • 采用高品质食品级材质。 • 超大流量实现全屋净化。 • 利用市政供水压力不费电，节能环保。 • 本产品为一体式滤瓶，整理更换，方便快接。 四、产品规格及
ERH110WH,ERH-110WH型反渗透净热一体机,管线机/饮水机,管线机/饮水机,"本产品的所有组件都包含在包装箱内
净水机主机（1个）
卡爪（2个）
转接头（2个）
密封圈（2个）
编织管
硅油包","净水机主机（1个）
卡爪（2个）
转接头（2个）
密封圈（2个）
编织管
硅油包",found,产品组件,found,装箱清单如下,ERH-110WH型反渗透净热一体机.pdf,../ERH-110WH型反渗透净热一体机.pdf,1,本产品的所有组件都包含在包装箱内，装箱清单如下： ① 净水机主机（1个） ② 卡爪（2个） ③ 转接头（2个） ④ 密封圈（2个） ⑤ 编织管 ⑥ 硅油包 三、产品功能 本产品怡口牌P30WHF型活性炭净水机，以市政自来水为原水，用于对自来水进行净化处理。 适用于安装在家用厨下安装，与净水器搭配使用。 2 产品介绍 FCOVATER • 采用高品质食品级材质。 • 超大流量实现全屋净化。 • 利用市政供水压力不费电，节能环保。 • 本产品为一体式滤瓶，整理更换，方便快接。 四、产品规格及,① 净水机主机（1个） ② 卡爪（2个） ③ 转接头（2个） ④ 密封圈（2个） ⑤ 编织管 ⑥ 硅油包 三、产品功能 本产品怡口牌P30WHF型活性炭净水机，以市政自来水为原水，用于对自来水进行净化处理。 适用于安装在家用厨下安装，与净水器搭配使用。 2 产品介绍 FCOVATER • 采用高品质食品级材质。 • 超大流量实现全屋净化。 • 利用市政供水压力不费电，节能环保。 • 本产品为一体式滤瓶，整理更换，方便快接。 四、产品规格及
ERH-2,ERH-2 台式净饮机（京东款）,管线机/饮水机,京东,"本产品的所有组件都包含在单一包装箱内，其中包括以下组件
主机 一台
滤芯 一套
用户手册 一本
接水盘 一件
原水箱 一件
合格证 一张
操作手册 一本","在单一包装箱内，其中包括以下组件
主机 一台
滤芯 一套
用户手册 一本
接水盘 一件
原水箱 一件
合格证 一张
操作手册 一本",found,产品组件,found,本产品的所有组件都包含,ERH-2 台式净饮机（京东款）.pdf,../ERH-2 台式净饮机（京东款）.pdf,1,本产品的所有组件都包含在单一包装箱内，其中包括以下组件： （1）主机 一台 （2）滤芯 一套 （3）用户手册 一本 （4）接水盘 一件 （5）原水箱 一件 （6）合格证 一张 （7） 操作手册 一本,在单一包装箱内，其中包括以下组件： （1）主机 一台 （2）滤芯 一套 （3）用户手册 一本 （4）接水盘 一件 （5）原水箱 一件 （6）合格证 一张 （7） 操作手册 一本
ERH-3,ERH-3 台式净饮机（天猫款）,管线机/饮水机,天猫,"本产品的所有组件都包含在单一包装箱内，其中包括以下组件
主机 一台
滤芯 一套
用户手册 一本
接水盘 一件
原水箱 一件
合格证 一张","在单一包装箱内，其中包括以下组件
主机 一台
滤芯 一套
用户手册 一本
接水盘 一件
原水箱 一件
合格证 一张 三．产品功能 本系列直饮水产品采用物理过滤方式。前置及后置滤芯均需定期及时更換，确保日常新鲜优质水的 供应。前置滤芯进行粗过滤，滤除原水中的泥沙、铁锈、固态悬浮物等...",found,产品组件,found,本产品的所有组件都包含,ERH-3 台式净饮机（天猫款）.pdf,../ERH-3 台式净饮机（天猫款）.pdf,1,本产品的所有组件都包含在单一包装箱内，其中包括以下组件： （1）主机 一台 （2）滤芯 一套 （3）用户手册 一本 （4）接水盘 一件 （5）原水箱 一件 （6）合格证 一张,在单一包装箱内，其中包括以下组件： （1）主机 一台 （2）滤芯 一套 （3）用户手册 一本 （4）接水盘 一件 （5）原水箱 一件 （6）合格证 一张 三．产品功能 本系列直饮水产品采用物理过滤方式。前置及后置滤芯均需定期及时更換，确保日常新鲜优质水的 供应。前置滤芯进行粗过滤，滤除原水中的泥沙、铁锈、固态悬浮物等。后置滤芯能去除水中的余氯产物 和异味，改善口感。 2 产品介绍 FCOWATER 四.
ERH-800,ERH-800型净热一体机,管线机/饮水机,管线机/饮水机,未在可识别正文中找到明确产品组件清单,"主机
零件包",not_found,,found,包装箱内,ERH-800型净热一体机.pdf,../ERH-800型净热一体机.pdf,1,,"的附件是否完整。 1、将包装打开，取出主机及零件包。 2、检查整机机身、包装箱及保修联的序列号是否一致。 3、确认整机的摆放位置及空间并预留一个三脚插座。 4、确认进水水压，水压要求为：0.1-0.4Mpa。 在安装前需关闭进水水源，以免发生漏水现象。 3/8""防落夹 冷水软管 密封垫 密封垫 冷水阀 3/8""白色PE管 三通球阀 7 三、"
ERH-801,ERH-801型反渗透净热一体机,管线机/饮水机,管线机/饮水机,未在可识别正文中找到明确产品组件清单,"主机
零件包",not_found,,found,包装箱内,ERH-801型反渗透净热一体机.pdf,../ERH-801型反渗透净热一体机.pdf,1,,"的附件是否完整。 1、将包装打开，取出主机及零件包。 2、检查整机机身、包装箱及保修联的序列号是否一致。 3、确认整机的摆放位置及空间并预留一个三脚插座。 4、确认进水水压，水压要求为：0.1-0.4MPa。 在安装前需关闭进水水源，以免发生漏水现象。 3/8""防落夹 冷水软管 密封垫 密封垫 冷水阀 3/8""白色PE管 三通球阀 7"
ERH-803,ERH-803、ERH-1005型反渗透净热一体机,管线机/饮水机,管线机/饮水机,未在可识别正文中找到明确产品组件清单,"主机
零件包",not_found,,found,包装箱内,ERH-803、ERH-1005型反渗透净热一体机.pdf,../ERH-803、ERH-1005型反渗透净热一体机.pdf,1,,"的附件是否完整。 1、将包装打开，取出主机及零件包。 2、检查整机机身、包装箱及保修联的序列号是否一致。 3、确认整机的摆放位置及空间并预留一个三脚插座。 4、确认进水水压，水压要求为：0.1-0.4MPa。 在安装前需关闭进水水源，以免发生漏水现象。 3/8""防落夹 冷水软管 密封垫 密封垫 冷水阀 3/8""白色PE管 三通球阀 7 三、"
ERH-1005,ERH-803、ERH-1005型反渗透净热一体机,管线机/饮水机,管线机/饮水机,未在可识别正文中找到明确产品组件清单,"主机
零件包",not_found,,found,包装箱内,ERH-803、ERH-1005型反渗透净热一体机.pdf,../ERH-803、ERH-1005型反渗透净热一体机.pdf,1,,"的附件是否完整。 1、将包装打开，取出主机及零件包。 2、检查整机机身、包装箱及保修联的序列号是否一致。 3、确认整机的摆放位置及空间并预留一个三脚插座。 4、确认进水水压，水压要求为：0.1-0.4MPa。 在安装前需关闭进水水源，以免发生漏水现象。 3/8""防落夹 冷水软管 密封垫 密封垫 冷水阀 3/8""白色PE管 三通球阀 7 三、"
ERH-J10,ERH-J10 ERH-J12火星说明书,管线机/饮水机,管线机/饮水机,未在可识别正文中找到明确产品组件清单,"主机
零件包",not_found,,found,包装箱内,ERH-J10 ERH-J12火星说明书.pdf,../ERH-J10 ERH-J12火星说明书.pdf,1,,的附件是否完整。 1、将包装打开，取出主机及零件包。 2、检查整机机身、包装箱及保修联的序列号是否一致。 3、确认整机的摆放位置及空间并预留一个三脚插座。 4、确认进水水压，水压要求为：0.1-0.4Mpao 全 在安装前需关闭进水水源，以免发生漏水现象。 二、
ERH-J12,ERH-J10 ERH-J12火星说明书,管线机/饮水机,管线机/饮水机,未在可识别正文中找到明确产品组件清单,"主机
零件包",not_found,,found,包装箱内,ERH-J10 ERH-J12火星说明书.pdf,../ERH-J10 ERH-J12火星说明书.pdf,1,,的附件是否完整。 1、将包装打开，取出主机及零件包。 2、检查整机机身、包装箱及保修联的序列号是否一致。 3、确认整机的摆放位置及空间并预留一个三脚插座。 4、确认进水水压，水压要求为：0.1-0.4Mpao 全 在安装前需关闭进水水源，以免发生漏水现象。 二、
ERH201,ERH201、ERH203型反渗透台式净饮机产品说明书,管线机/饮水机,管线机/饮水机,未在可识别正文中找到明确产品组件清单,"并由怡口专业售后人员上门操作安装
有需求请联系怡口官方旗舰店客服
或拨打官方售后电话
400-887-0190
第四步.启动接管模式
选择控制面板同时按下
“热水”
“小杯”
按键5秒
切换至接管模式
显示屏亮
“接管”
LED灯
第五步
完成
以上",not_found,,found,配件包,ERH201、ERH203型反渗透台式净饮机产品说明书.pdf,../ERH201、ERH203型反渗透台式净饮机产品说明书.pdf,2,,， 并由怡口专业售后人员上门操作安装。 有需求请联系怡口官方旗舰店客服， 或拨打官方售后电话： 400-887-0190 第四步.启动接管模式 选择控制面板同时按下 “热水” 和 “小杯” 按键5秒， 切换至接管模式； 显示屏亮 “接管” LED灯。 第五步： 完成 以上
ERH203,ERH201、ERH203型反渗透台式净饮机产品说明书,管线机/饮水机,管线机/饮水机,未在可识别正文中找到明确产品组件清单,"并由怡口专业售后人员上门操作安装
有需求请联系怡口官方旗舰店客服
或拨打官方售后电话
400-887-0190
第四步.启动接管模式
选择控制面板同时按下
“热水”
“小杯”
按键5秒
切换至接管模式
显示屏亮
“接管”
LED灯
第五步
完成
以上",not_found,,found,配件包,ERH201、ERH203型反渗透台式净饮机产品说明书.pdf,../ERH201、ERH203型反渗透台式净饮机产品说明书.pdf,1,,， 并由怡口专业售后人员上门操作安装。 有需求请联系怡口官方旗舰店客服， 或拨打官方售后电话： 400-887-0190 第四步.启动接管模式 选择控制面板同时按下 “热水” 和 “小杯” 按键5秒， 切换至接管模式； 显示屏亮 “接管” LED灯。 第五步： 完成 以上
ERH201,ERH201即热饮水机说明书,管线机/饮水机,管线机/饮水机,未在可识别正文中找到明确产品组件清单,"并由怡口专业售后人员上门操作安装
有需求请联系怡口官方旗舰店客服
或拨打官方售后电话
400-887-0190
第四步.启动接管模式
选择控制面板同时按下
“热水”
“小杯”
按键5秒
切换至接管模式
显示屏亮
“接管”
LED灯
第五步
完成
以上",not_found,,found,配件包,ERH201即热饮水机说明书.pdf,../ERH201即热饮水机说明书.pdf,2,,， 并由怡口专业售后人员上门操作安装。 有需求请联系怡口官方旗舰店客服， 或拨打官方售后电话： 400-887-0190 第四步.启动接管模式 选择控制面板同时按下 “热水” 和 “小杯” 按键5秒， 切换至接管模式； 显示屏亮 “接管” LED灯。 第五步： 完成 以上
ERHX10NX20N,ERHX10NX20N  OWNERS MANUAL,管线机/饮水机,管线机/饮水机,未在可识别正文中找到明确产品组件清单,"主机
零件包",not_found,,found,包装箱内,ERHX10NX20N OWNERS MANUAL.pdf,../ERHX10NX20N OWNERS MANUAL.pdf,1,,的附件是否完整。 1、将包装打开，取出主机及零件包。 2、检查整机机身、包装箱及保修联的序列号是否一致。 3、确认整机的摆放位置及空间并预留水源、排污接口及一个三脚插座。 4、确认进水水压，水压要求为：0.1-0.4MPa。 A 在安装前需关闭进水水源，以免发生漏水现象。 二、
ERHX10X20,ERHX10X20  OWNERS MANUAL REVB,管线机/饮水机,管线机/饮水机,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ERHX10X20 OWNERS MANUAL REVB.pdf,../ERHX10X20 OWNERS MANUAL REVB.pdf,1,,
ERO001-3,ERO001-3 纯饮Mini RO,反渗透净水机,纯饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ERO001-3 纯饮Mini RO.pdf,../ERO001-3 纯饮Mini RO.pdf,1,,
ERO002-3,ERO002-3 纯饮Mini RO,反渗透净水机,纯饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ERO002-3 纯饮Mini RO.pdf,../ERO002-3 纯饮Mini RO.pdf,1,,
ERO102-3,ERO102-3 纯饮灵动RO,反渗透净水机,纯饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ERO102-3 纯饮灵动RO.pdf,../ERO102-3 纯饮灵动RO.pdf,1,,
ERO121-3,ERO121-3 纯爱系列 K1,反渗透净水机,反渗透净水机,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ERO121-3 纯爱系列 K1.pdf,../ERO121-3 纯爱系列 K1.pdf,1,,
K1,ERO121-3 纯爱系列 K1,反渗透净水机,反渗透净水机,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ERO121-3 纯爱系列 K1.pdf,../ERO121-3 纯爱系列 K1.pdf,1,,
ERO150-3,ERO150-3反渗透直饮机用户手册,反渗透净水机,反渗透净水机,未在可识别正文中找到明确产品组件清单,"主机
零件包",not_found,,found,包装箱内,ERO150-3反渗透直饮机用户手册.pdf,../ERO150-3反渗透直饮机用户手册.pdf,1,,"的附件是否完整。 1、将包装打开，取出主机及零件包。 2、检查整机机身、包装箱及保修联的序列号是否一致。 3、确认整机的摆放位置及空间并预留一个两脚插座。 4、确认进水水压，水压要求为：0.1-0.4MPa。 在安装前需关闭进水水源，以免发生漏水现象。 3/8""防落夹 冷水软管 密封垫 密封垫 冷水阀 3/8""蓝色PE管 三通球阀 7 三、"
ERO151-3,ERO151-3 152-3反渗透纯水机说明书,反渗透净水机,反渗透净水机,未在可识别正文中找到明确产品组件清单,"主机
零件包",not_found,,found,包装箱内,ERO151-3 152-3反渗透纯水机说明书.pdf,../ERO151-3 152-3反渗透纯水机说明书.pdf,1,,"的附件是否完整。 1、将包装打开，取出主机及零件包。 2、检查整机机身、包装箱及保修联的序列号是否一致。 3、确认整机的摆放位置及空间并预留一个两脚插座。 4、确认进水水压，水压要求为：0.1-0.4MPa。 在安装前需关闭进水水源，以免发生漏水现象。 3/8""防落夹 冷水软管 密封垫 密封垫 冷水阀 3/8""蓝色PE管 三通球阀 7 三、"
ERO152-3,ERO151-3 152-3反渗透纯水机说明书,反渗透净水机,反渗透净水机,未在可识别正文中找到明确产品组件清单,"主机
零件包",not_found,,found,包装箱内,ERO151-3 152-3反渗透纯水机说明书.pdf,../ERO151-3 152-3反渗透纯水机说明书.pdf,1,,"的附件是否完整。 1、将包装打开，取出主机及零件包。 2、检查整机机身、包装箱及保修联的序列号是否一致。 3、确认整机的摆放位置及空间并预留一个两脚插座。 4、确认进水水压，水压要求为：0.1-0.4MPa。 在安装前需关闭进水水源，以免发生漏水现象。 3/8""防落夹 冷水软管 密封垫 密封垫 冷水阀 3/8""蓝色PE管 三通球阀 7 三、"
ERO161-162,ERO161-162 说明书重新排版 V23,反渗透净水机,反渗透净水机,未在可识别正文中找到明确产品组件清单,"主机
零件包",not_found,,found,包装箱内,ERO161-162 说明书重新排版 V23.pdf,../ERO161-162 说明书重新排版 V23.pdf,1,,"的附件是否完整。 1、将包装打开，取出主机及零件包。 2、检查整机机身、包装箱及保修联的序列号是否一致。 3、确认整机的摆放位置及空间并预留一个两脚插座。 4、确认进水水压，水压要求为：0.1-0.4MPa。 在安装前需关闭进水水源，以免发生漏水现象。 3/8""防落夹 冷水软管 密封垫 密封垫 冷水阀 3/8""白色PE管 三通球阀 7 三、"
ERO161,ERO161_162A OWNER'S MANUAL用户手册,反渗透净水机,反渗透净水机,未在可识别正文中找到明确产品组件清单,"主机
零件包",not_found,,found,包装箱内,ERO161_162A OWNER'S MANUAL用户手册.pdf,../ERO161_162A OWNER'S MANUAL用户手册.pdf,1,,"的附件是否完整。 1、将包装打开，取出主机及零件包。 2、检查整机机身、包装箱及保修联的序列号是否一致。 3、确认整机的摆放位置及空间并预留一个两脚插座。 4、确认进水水压，水压要求为：0.1-0.4MPa。 在安装前需关闭进水水源，以免发生漏水现象。 3/8""防落夹 冷水软管 密封垫 密封垫 冷水阀 3/8""白色PE管 三通球阀 7 三、"
ERO162A,ERO161_162A OWNER'S MANUAL用户手册,反渗透净水机,反渗透净水机,未在可识别正文中找到明确产品组件清单,"主机
零件包",not_found,,found,包装箱内,ERO161_162A OWNER'S MANUAL用户手册.pdf,../ERO161_162A OWNER'S MANUAL用户手册.pdf,1,,"的附件是否完整。 1、将包装打开，取出主机及零件包。 2、检查整机机身、包装箱及保修联的序列号是否一致。 3、确认整机的摆放位置及空间并预留一个两脚插座。 4、确认进水水压，水压要求为：0.1-0.4MPa。 在安装前需关闭进水水源，以免发生漏水现象。 3/8""防落夹 冷水软管 密封垫 密封垫 冷水阀 3/8""白色PE管 三通球阀 7 三、"
ERO162C,ERO162C OWNERS MANUAL工程款,反渗透净水机,工程款,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ERO162C OWNERS MANUAL工程款.pdf,../ERO162C OWNERS MANUAL工程款.pdf,1,,
ERO175-2,ERO175-2 OWNERS MANUAL,反渗透净水机,反渗透净水机,未在可识别正文中找到明确产品组件清单,"主机
零件包",not_found,,found,包装箱内,ERO175-2 OWNERS MANUAL.pdf,../ERO175-2 OWNERS MANUAL.pdf,1,,的附件是否完整。 1、将包装打开，取出主机及零件包。 2、检查整机机身、包装箱及保修联的序列号是否一致。 3、确认整机的摆放位置及空间并预留一个两孔插座。 4、确认进水水压，水压要求为：0.1-0.4MPa。 ⑦ 在安装前需关闭进水水源，以免发生漏水现象。 二、
ERO181,ERO181_185-188-2 OWNERS MANUAL RevC,反渗透净水机,反渗透净水机,未在可识别正文中找到明确产品组件清单,"主机
零件包",not_found,,found,包装箱内,ERO181_185-188-2 OWNERS MANUAL RevC.pdf,../ERO181_185-188-2 OWNERS MANUAL RevC.pdf,1,,"的附件是否完整。 1、将包装打开，取出主机及零件包。 2、检查整机机身、包装箱及保修联的序列号是否一致。 3、确认整机的摆放位置及空间并预留一个两孔插座。 4、确认进水水压，水压要求为：0.1-0.4MPa。 在安装前需关闭进水水源，以免发生漏水现象。 3/8""防落夹 冷水软管 密封垫 密封垫 冷水阀 3/8""白色PE管 三通球阀 8 三、"
185-188-2,ERO181_185-188-2 OWNERS MANUAL RevC,反渗透净水机,反渗透净水机,未在可识别正文中找到明确产品组件清单,"主机
零件包",not_found,,found,包装箱内,ERO181_185-188-2 OWNERS MANUAL RevC.pdf,../ERO181_185-188-2 OWNERS MANUAL RevC.pdf,1,,"的附件是否完整。 1、将包装打开，取出主机及零件包。 2、检查整机机身、包装箱及保修联的序列号是否一致。 3、确认整机的摆放位置及空间并预留一个两孔插座。 4、确认进水水压，水压要求为：0.1-0.4MPa。 在安装前需关闭进水水源，以免发生漏水现象。 3/8""防落夹 冷水软管 密封垫 密封垫 冷水阀 3/8""白色PE管 三通球阀 8 三、"
ERO195-2,ERO195-2/ERO198-2型双出水净水机,反渗透净水机,反渗透净水机,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ERO195-2_ERO198-2型双出水净水机.pdf,../ERO195-2_ERO198-2型双出水净水机.pdf,1,,
ERO198-2,ERO195-2/ERO198-2型双出水净水机,反渗透净水机,反渗透净水机,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ERO195-2_ERO198-2型双出水净水机.pdf,../ERO195-2_ERO198-2型双出水净水机.pdf,1,,
ERO201-3,ERO201-3 纯E系列RO,反渗透净水机,纯E系列,"•150mm
机主体1台 2 滤芯3支（HYBRID CTO复合压缩活性炭滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯）
水龙头及相关配件的组件包（限厨下型）
配件包 1份（不同颜色标记软管，油脂袋和管接头）
电源
说明书1本","（限厨下型）
配件包 1份（不同颜色标记软管，油脂袋和管接头）
电源
说明书1本 三．产品功能 以市政自来水为原水，经怡口牌 ERO201-3/ERO211-3型反渗透纯水机处理后，出水水质符合《生活饮用水 水质处理器卫生安全与功能评价规范 -反渗透...",found,产品组件,found,组件包,ERO201-3 纯E系列RO.pdf,../ERO201-3 纯E系列RO.pdf,1,•150mm 1. 机主体1台 2 滤芯3支（HYBRID CTO复合压缩活性炭滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 3. 水龙头及相关配件的组件包（限厨下型） 4. 配件包 1份（不同颜色标记软管，油脂袋和管接头） 5. 电源 6. 说明书1本,（限厨下型） 4. 配件包 1份（不同颜色标记软管，油脂袋和管接头） 5. 电源 6. 说明书1本 三．产品功能 以市政自来水为原水，经怡口牌 ERO201-3/ERO211-3型反渗透纯水机处理后，出水水质符合《生活饮用水 水质处理器卫生安全与功能评价规范 -反渗透处理装置》（2001）的要求。 本产品为反渗透（RO）过滤装置。三根滤芯均需定期及时更换，确保日常新鲜优质纯水的供应。其前置滤芯 可滤除水中余氯产物及沉淀；中间一支为反渗透 RO 滤芯，通过这一特殊薄膜，可滤除水中的可溶性固体，有机物 及重金属；而后置
ERO208-3,ERO208-3 ERO218-3 owner manual,反渗透净水机,反渗透净水机,"•150mm
机主体1台 2 滤芯3支（HYBRID CTO复合压缩活性炭滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯）
水龙头及相关配件的组件包（限厨下型）
配件包 1份（不同颜色标记软管，油脂袋和管接头）
电源
说明书1本","（限厨下型）
配件包 1份（不同颜色标记软管，油脂袋和管接头）
电源
说明书1本 三．产品功能 以市政自来水为原水，经怡口牌ERO208-3/ ERO218-3型反渗透纯水机处理后，出水水质符合《生活饮用水 水质处理器卫生安全与功能评价规范 -反渗透...",found,产品组件,found,组件包,ERO208-3 ERO218-3 owner manual.pdf,../ERO208-3 ERO218-3 owner manual.pdf,1,•150mm 1. 机主体1台 2 滤芯3支（HYBRID CTO复合压缩活性炭滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 3. 水龙头及相关配件的组件包（限厨下型） 4. 配件包 1份（不同颜色标记软管，油脂袋和管接头） 5. 电源 6. 说明书1本,（限厨下型） 4. 配件包 1份（不同颜色标记软管，油脂袋和管接头） 5. 电源 6. 说明书1本 三．产品功能 以市政自来水为原水，经怡口牌ERO208-3/ ERO218-3型反渗透纯水机处理后，出水水质符合《生活饮用水 水质处理器卫生安全与功能评价规范 -反渗透处理装置》（2001）的要求。 本产品为反渗透（RO）过滤装置。三根滤芯均需定期及时更换，确保日常新鲜优质纯水的供应。其前置滤芯 可滤除水中余氯产物及沉淀；中间一支为反渗透 RO 滤芯，通过这一特殊薄膜，可滤除水中的可溶性固体，有机物 及重金属；而后置
